  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   19    0   81.82  64.29     9     11   14      1     17    16    94.12
   2    6    0  100.00 100.00     4      4    4      0      6     6   100.00
   3   36    0   62.50  57.69    15     24   26      7     34    32    94.12
   4   43    0   94.74  92.31    36     38   39      0     43    43   100.00
   5   14    0   92.31  92.31    12     13   13      0     14    13    92.86
   6   34    0   96.30  92.86    26     27   28      0     34    33    97.06
   7   13    0   50.00  50.00     4      8    8      3     13    10    76.92
   8    6    0  100.00  80.00     4      4    5      0      6     5    83.33
   9   36    0   85.19 100.00    23     27   23      0     36    34    94.44
  10    8    0  100.00 100.00     6      6    6      0      8     8   100.00
  11   31    0   65.22  65.22    15     23   23      5     31    31   100.00
  12   18    0  100.00 100.00    20     20   20      0     18    18   100.00
  13   14    0   91.67  91.67    11     12   12      0     14    14   100.00
  14   49    0   96.15  83.33    25     26   30      1     47    46    97.87
  15   24    0  100.00 100.00    18     18   18      0     24    23    95.83
  16   53    1    0.00   0.00     0      0    0      0      0     0     0.00
  17   34    0   96.97  96.97    32     33   33      1     33    33   100.00
  18   10    0  100.00 100.00     8      8    8      0     10    10   100.00
  19   11    0   92.31 100.00    12     13   12      0     11    11   100.00
  20   37    0   93.75  93.75    30     32   32      0     37    37   100.00
  21   12    0  100.00 100.00    11     11   11      0     12    12   100.00
  22   19    0   92.31  85.71    12     13   14      0     19    18    94.74
  23   34    0  100.00  86.36    19     19   22      0     30    29    96.67
  24   46    0   93.62  91.67    44     47   48      1     46    45    97.83
  25   42    0  100.00  97.56    40     40   41      0     42    42   100.00
  26   40    0   90.32  90.32    28     31   31      2     40    40   100.00
  27   19    0  100.00  95.45    21     21   22      0     19    19   100.00
  28   10    0  100.00 100.00     9      9    9      0     10    10   100.00
  29   25    0   94.12  94.12    16     17   17      0     21    20    95.24
  30   18    0  100.00 100.00    16     16   16      0     18    18   100.00
  31   15    0  100.00 100.00    15     15   15      0     15    14    93.33
  32   19    0  100.00 100.00    13     13   13      0     17    15    88.24
  33   17    0  100.00 100.00    13     13   13      0     16    16   100.00
  34   29    0  100.00  95.83    23     23   24      0     28    28   100.00
  35   21    0  100.00 100.00    19     19   19      0     21    21   100.00
  36   36    0   75.68  71.79    28     37   39      5     36    35    97.22
  37    6    0  100.00 100.00     6      6    6      0      6     6   100.00
  38   23    0  100.00 100.00    16     16   16      0     23    22    95.65
  39   13    0  100.00 100.00    12     12   12      0     13    13   100.00
  40    8    0  100.00 100.00     7      7    7      0      8     8   100.00
  41    6    0  100.00 100.00     4      4    4      0      6     6   100.00
  42   34    0   96.97  96.97    32     33   33      0     34    33    97.06
  43   26    0  100.00  96.00    24     24   25      0     26    24    92.31
  44   16    0   86.67  92.86    13     15   14      1     16    15    93.75
  45   19    0   92.86  86.67    13     14   15      0     19    18    94.74
  46   34    0   94.29  91.67    33     35   36      3     34    34   100.00
  47   29    0   85.71  88.89    24     28   27      1     29    27    93.10
  48   30    0   92.31  92.31    24     26   26      1     30    30   100.00
  49   42    1    0.00   0.00     0      0    0      0      0     0     0.00
  50   22    0   95.83  95.83    23     24   24      0     22    22   100.00
  51   28    0   87.50  91.30    21     24   23      1     28    27    96.43
  52   47    1    0.00   0.00     0      0    0      0      0     0     0.00
  53   19    0  100.00 100.00    20     20   20      0     19    18    94.74
  54   13    0  100.00 100.00    14     14   14      0     13    13   100.00
  55    7    0  100.00  83.33     5      5    6      0      7     7   100.00
  56    6    0  100.00 100.00     4      4    4      0      6     6   100.00
  57   26    0  100.00 100.00    22     22   22      0     26    26   100.00
  58   34    0   73.33  73.33    22     30   30      6     34    34   100.00
  59   25    0   95.24  90.91    20     21   22      0     25    25   100.00
  60   33    0  100.00  96.43    27     27   28      0     33    31    93.94
  61    9    0  100.00  85.71     6      6    7      0      9     9   100.00
  62    7    0  100.00 100.00     6      6    6      0      7     6    85.71
  63   23    0   83.33  80.00    20     24   25      4     23    23   100.00
  64    7    0  100.00 100.00     5      5    5      0      7     7   100.00
  65   22    0   94.12  94.12    16     17   17      0     22    20    90.91
  66   18    1    0.00   0.00     0      0    0      0      0     0     0.00
  67   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  68    9    0   75.00  60.00     3      4    5      0      9     9   100.00
  69   21    1    0.00   0.00     0      0    0      0      0     0     0.00
  70   18    0  100.00 100.00    16     16   16      0     18    18   100.00
  71   34    0  100.00 100.00    28     28   28      0     34    33    97.06
  72   17    1    0.00   0.00     0      0    0      0      0     0     0.00
  73   15    0  100.00 100.00    13     13   13      0     15    15   100.00
  74   36    0  100.00  93.10    27     27   29      0     36    36   100.00
  75   22    0   66.67  60.87    14     21   23      5     22    22   100.00
  76   10    1    0.00   0.00     0      0    0      0      0     0     0.00
  77   20    0   87.50  87.50    21     24   24      2     20    18    90.00
  78   25    0   95.24  95.24    20     21   21      0     25    24    96.00
  79   12    0  100.00  91.67    11     11   12      0     12    12   100.00
  80    6    0  100.00  66.67     4      4    6      0      6     5    83.33
  81   10    0  100.00  87.50     7      7    8      0     10    10   100.00
  82    6    0   75.00  75.00     3      4    4      0      5     4    80.00
  83    9    0   88.89  88.89     8      9    9      0      9     9   100.00
  84   11    0   92.31  92.31    12     13   13      0     11    11   100.00
  85    8    0  100.00 100.00    11     11   11      0      7     7   100.00
