sentence,labeled_precision,labeled_recall,correct_gold_subtrees,labeled_f1_score,total_gold_subtrees,total_test_subtrees,unlabeled_precision,unlabeled_recall,unlabeled_f1_score,correct_gold_spans,total_gold_spans,total_test_spans,errors.S,errors.NP,confusion.S.PP,confusion.PP.PP,confusion.NP.NP,confusion.VP.VP,errors.VP,errors.PP,errors.NAC,confusion.S.S,errors.ADJP,confusion.SBAR.SBAR,confusion.QP.QP,errors.PRN,confusion.PRT.PRT,confusion.ADVP.ADVP,errors.SBAR,confusion.PRN.PRN,confusion.WHNP.WHNP,confusion.ADJP.ADJP,confusion.SINV.SINV,confusion.VP.ADJP,confusion.VP.NP,confusion.NP.VP,errors.NX,errors.ADVP,confusion.NX.NP,confusion.ADVP.PRT,confusion.WHPP.WHPP,confusion.ADVP.PP,errors.FRAG,confusion.S.SINV,confusion.NAC.NP,confusion.FRAG.NP,confusion.S.SQ,errors.UCP,confusion.UCP.ADJP,confusion.NP.S,errors.QP,confusion.ADJP.NP,confusion.ADJP.QP,confusion.FRAG.S,errors.PRT,confusion.PRT.ADVP,confusion.CONJP.CONJP,confusion.ADVP.NP,confusion.NP.ADVP,confusion.S.NP,confusion.UCP.S,confusion.UCP.VP,confusion.NP.ADJP,errors.SINV,confusion.PP.SBAR,confusion.VP.S,confusion.SBARQ.SBARQ,confusion.SQ.SQ,confusion.ADJP.VP,confusion.ADVP.ADJP,errors.X,confusion.X.NP,errors.INTJ,confusion.INTJ.NP,confusion.UCP.NP,confusion.NAC.PP,confusion.VP.PP,confusion.PP.NP,confusion.ADJP.UCP,confusion.ADJP.PP,errors.WHPP,confusion.WHPP.SBAR,confusion.WHADJP.WHADJP,errors.SBARQ,errors.SQ,confusion.SBARQ.S,confusion.SQ.S,confusion.S.ADJP,confusion.ADJP.ADVP,confusion.UCP.UCP,confusion.SINV.NP,confusion.SBAR.NP,confusion.ADJP.S,confusion.NP.PP,confusion.S.FRAG,confusion.PRN.NP,confusion.SBAR.S,confusion.UCP.PP,confusion.NP.X
"After visa snags , all - girl Afghan team honored for ' courageous achievement ' at international robotics competition",0.5833333333333334,0.7777777777777778,7,0.6666666666666666,9,12,0.6666666666666666,0.8888888888888888,0.761904761904762,8,9,12,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Friday , July 21 , 2017",0.6666666666666666,1.0,2,0.8,2,3,0.6666666666666666,1.0,0.8,2,2,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A group of Afghan teenagers was awarded a silver medal for "" courageous achievement "" on Tuesday in the FIRST Global Challenge Robot Olympics in the Daughters of the American Revolution Constitution Hall in Washington D.C.",0.5217391304347826,0.631578947368421,12,0.5714285714285715,19,23,0.5217391304347826,0.631578947368421,0.5714285714285715,12,19,23,0.0,3.0,0.0,3.0,8.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The six - member Afghan team , which consists entirely of girls , had been denied visas to enter the United States until last week , drawing notice from critics of U.S. President Donald Trump 's policies regarding Muslims traveling to the U.S.",0.8333333333333334,0.967741935483871,30,0.8955223880597015,31,36,0.8333333333333334,0.967741935483871,0.8955223880597015,30,31,36,0.0,0.0,0.0,3.0,14.0,9.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The President later personally took action to allow the team into the country .,0.5,0.8571428571428571,6,0.631578947368421,7,12,0.5,0.8571428571428571,0.631578947368421,6,7,12,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"According to Afghan Ambassador to the United States Hamdullah Mohib , the participation of this team in this science competition shows progress in Afghanistan 's response to nearly two decades of military conflict .",0.88,0.9565217391304348,22,0.9166666666666666,23,25,0.88,0.9565217391304348,0.9166666666666666,22,23,25,0.0,0.0,0.0,6.0,13.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The first FIRST Global robotics competition was held this week in Washington D.C.,0.14285714285714285,0.25,1,0.18181818181818182,4,7,0.14285714285714285,0.25,0.18181818181818182,1,4,7,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Image : United States Navy .,1.0,1.0,3,1.0,3,3,1.0,1.0,1.0,3,3,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"The FIRST Global competition -LRB- For Inspiration and Recognition of Science and Technlogy -RRB- was founded by Dean Kamen to encourage interest in applied science , technology , engineering , and mathematics in young people .",0.8636363636363636,0.8260869565217391,19,0.8444444444444444,23,22,0.8636363636363636,0.8260869565217391,0.8444444444444444,19,23,22,0.0,3.0,0.0,5.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
This year 's theme was water security .,0.6,1.0,3,0.7499999999999999,3,5,0.6,1.0,0.7499999999999999,3,3,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
