  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   19    0  100.00  91.67    11     11   12      0     17    17   100.00
   2    6    0  100.00 100.00     4      4    4      0      6     6   100.00
   3   36    0   83.33  76.92    20     24   26      4     34    33    97.06
   4   43    0   92.11  89.74    35     38   39      0     43    43   100.00
   5   14    0   92.31  92.31    12     13   13      0     14    14   100.00
   6   34    0   96.30  92.86    26     27   28      0     34    34   100.00
   7   13    0  100.00  88.89     8      8    9      0     13    13   100.00
   8    6    0  100.00  80.00     4      4    5      0      6     5    83.33
   9   36    0   92.59  96.15    25     27   26      0     36    35    97.22
  10    8    0  100.00 100.00     6      6    6      0      8     8   100.00
  11   31    0   65.22  68.18    15     23   22      5     31    31   100.00
  12   18    0  100.00 100.00    20     20   20      0     18    18   100.00
  13   14    0   91.67  91.67    11     12   12      0     14    14   100.00
  14   49    0   96.15  86.21    25     26   29      1     47    47   100.00
  15   24    0   88.89  84.21    16     18   19      1     24    24   100.00
  16   53    0   76.19  78.05    32     42   41      6     50    50   100.00
  17   34    0   90.91  90.91    30     33   33      3     33    33   100.00
  18   10    0  100.00 100.00     8      8    8      0     10    10   100.00
  19   11    0   84.62 100.00    11     13   11      0     11    11   100.00
  20   37    0   90.62  96.67    29     32   30      0     37    37   100.00
  21   12    0  100.00 100.00    11     11   11      0     12    12   100.00
  22   19    0   92.31  80.00    12     13   15      0     19    19   100.00
  23   34    0  100.00  82.61    19     19   23      0     30    30   100.00
  24   46    0   85.11  86.96    40     47   46      4     46    45    97.83
  25   42    0   97.50  95.12    39     40   41      0     42    42   100.00
  26   40    0   96.77  96.77    30     31   31      0     40    40   100.00
  27   19    0   90.48  95.00    19     21   20      0     19    19   100.00
  28   10    0  100.00 100.00     9      9    9      0     10    10   100.00
  29   25    0   88.24  93.75    15     17   16      0     21    21   100.00
  30   18    0  100.00 100.00    16     16   16      0     18    18   100.00
  31   15    0   93.33  93.33    14     15   15      0     15    14    93.33
  32   19    0   92.31  92.31    12     13   13      0     17    17   100.00
  33   17    0  100.00 100.00    13     13   13      0     16    16   100.00
  34   29    0  100.00  95.83    23     23   24      0     28    28   100.00
  35   21    0  100.00 100.00    19     19   19      0     21    21   100.00
  36   36    0   89.19  89.19    33     37   37      0     36    36   100.00
  37    6    0  100.00 100.00     6      6    6      0      6     6   100.00
  38   23    0  100.00 100.00    16     16   16      0     23    23   100.00
  39   13    0  100.00 100.00    12     12   12      0     13    13   100.00
  40    8    0   71.43  71.43     5      7    7      0      8     8   100.00
  41    6    0  100.00 100.00     4      4    4      0      6     6   100.00
  42   34    0   96.97  96.97    32     33   33      0     34    34   100.00
  43   26    0   87.50  80.77    21     24   26      4     26    25    96.15
  44   16    0   66.67  83.33    10     15   12      2     16    16   100.00
  45   19    0  100.00 100.00    14     14   14      0     19    19   100.00
  46   34    0   91.43  94.12    32     35   34      1     34    34   100.00
  47   29    0   75.00  77.78    21     28   27      4     29    29   100.00
  48   30    0   88.46  95.83    23     26   24      0     30    29    96.67
  49   42    0  100.00  97.22    35     35   36      0     40    40   100.00
  50   22    0   95.83  95.83    23     24   24      0     22    22   100.00
  51   28    0   87.50  91.30    21     24   23      1     28    27    96.43
  52   47    0   94.87  88.10    37     39   42      0     45    43    95.56
  53   19    0  100.00 100.00    20     20   20      0     19    19   100.00
  54   13    0  100.00 100.00    14     14   14      0     13    13   100.00
  55    7    0  100.00  83.33     5      5    6      0      7     7   100.00
  56    6    0  100.00 100.00     4      4    4      0      6     6   100.00
  57   26    0   81.82  78.26    18     22   23      3     26    26   100.00
  58   34    0   73.33  70.97    22     30   31      6     34    34   100.00
  59   25    0   90.48  82.61    19     21   23      0     25    25   100.00
  60   33    0   85.19  82.14    23     27   28      2     33    32    96.97
  61    9    0   50.00  42.86     3      6    7      1      9     9   100.00
  62    7    0   66.67  80.00     4      6    5      1      7     7   100.00
  63   23    0   83.33  83.33    20     24   24      3     23    23   100.00
  64    7    0  100.00 100.00     5      5    5      0      7     7   100.00
  65   22    0   94.12  94.12    16     17   17      0     22    22   100.00
  66   18    1    0.00   0.00     0      0    0      0      0     0     0.00
  67   20    0   68.42  72.22    13     19   18      4     18    18   100.00
  68    9    0  100.00  66.67     4      4    6      0      9     9   100.00
  69   21    1    0.00   0.00     0      0    0      0      0     0     0.00
  70   18    0   50.00  57.14     8     16   14      6     18    18   100.00
  71   34    0  100.00  93.33    28     28   30      0     34    33    97.06
  72   17    1    0.00   0.00     0      0    0      0      0     0     0.00
  73   15    0  100.00 100.00    13     13   13      0     15    15   100.00
  74   36    0  100.00  93.10    27     27   29      0     36    36   100.00
  75   22    0   80.95  77.27    17     21   22      2     22    22   100.00
  76   10    1    0.00   0.00     0      0    0      0      0     0     0.00
  77   20    0   87.50  87.50    21     24   24      3     20    18    90.00
  78   25    0   90.48  86.36    19     21   22      1     25    24    96.00
  79   12    0  100.00  91.67    11     11   12      0     12    12   100.00
  80    6    0  100.00 100.00     4      4    4      0      6     6   100.00
  81   10    0  100.00  87.50     7      7    8      0     10    10   100.00
  82    6    0   25.00  50.00     1      4    2      0      5     5   100.00
  83    9    0  100.00 100.00     9      9    9      0      9     9   100.00
  84   11    0   92.31  92.31    12     13   13      0     11    11   100.00
  85    8    0  100.00 100.00    11     11   11      0      7     7   100.00
  86   14    0  100.00 100.00    13     13   13      0     14    14   100.00
  87   20    1    0.00   0.00     0      0    0      0      0     0     0.00
  88   40    0   97.22  94.59    35     36   37      0     40    39    97.50
  89   27    0   82.61  70.37    19     23   27      4     27    27   100.00
  90   18    1    0.00   0.00     0      0    0      0      0     0     0.00
  91   34    0  100.00  92.00    23     23   25      0     34    34   100.00
  92    8    0   42.86  30.00     3      7   10      3      8     8   100.00
  93    6    0  100.00 100.00     4      4    4      0      6     6   100.00
  94    9    0   87.50  87.50     7      8    8      0      9     9   100.00
  95   31    0   90.91  95.24    20     22   21      0     31    31   100.00
  96   44    0   84.85  75.68    28     33   37      3     42    42   100.00
  97   23    0   87.50  87.50    21     24   24      0     23    23   100.00
  98   14    0  100.00 100.00    11     11   11      0     14    13    92.86
  99   13    0  100.00 100.00    13     13   13      0     13    13   100.00
 100   30    0   91.30  95.45    21     23   22      0     28    28   100.00
 101   26    0   79.17  90.48    19     24   21      1     24    23    95.83
 102   25    0   94.74 100.00    18     19   18      0     25    24    96.00
 103   32    0   86.67  83.87    26     30   31      1     32    32   100.00
 104   28    0   96.00  96.00    24     25   25      0     28    27    96.43
 105    8    0   90.91  90.91    10     11   11      0      8     8   100.00
 106    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 107   46    0   82.22  77.08    37     45   48      7     46    46   100.00
 108   19    0   62.50  58.82    10     16   17      5     19    19   100.00
 109   20    0   78.95  75.00    15     19   20      3     20    20   100.00
 110    5    0  100.00 100.00     4      4    4      0      5     5   100.00
 111   24    0  100.00 100.00    18     18   18      0     24    23    95.83
 112   10    0   90.00 100.00     9     10    9      0     10    10   100.00
 113   22    0   94.12  84.21    16     17   19      1     22    22   100.00
 114   32    0   66.67  66.67    16     24   24      4     32    32   100.00
 115   26    0  100.00  95.45    21     21   22      0     26    26   100.00
 116   29    0   86.36  73.08    19     22   26      1     29    28    96.55
 117   24    0  100.00 100.00    22     22   22      0     24    24   100.00
 118   23    0  100.00 100.00    24     24   24      0     23    23   100.00
 119   20    0   91.30  87.50    21     23   24      1     20    20   100.00
 120   23    0   96.15  96.15    25     26   26      0     23    23   100.00
 121   25    0  100.00 100.00    23     23   23      0     25    25   100.00
 122   11    0  100.00 100.00    11     11   11      0     11    11   100.00
 123   28    0   96.00  96.00    24     25   25      0     28    28   100.00
 124   74    0   74.60  69.12    47     63   68     12     72    72   100.00
 125   34    1    0.00   0.00     0      0    0      0      0     0     0.00
 126   26    0   96.00  96.00    24     25   25      0     26    26   100.00
 127    3    0  100.00 100.00     4      4    4      0      3     3   100.00
 128   17    0   80.00  92.31    12     15   13      1     16    16   100.00
 129   25    0   75.00  72.00    18     24   25      5     25    23    92.00
 130   22    0  100.00  90.00    18     18   20      0     21    21   100.00
 131   53    1    0.00   0.00     0      0    0      0      0     0     0.00
 132   34    0  100.00 100.00    29     29   29      0     34    34   100.00
 133   15    0   92.86  92.86    13     14   14      0     15    15   100.00
 134   28    0   95.65  91.67    22     23   24      0     28    28   100.00
 135   41    0   91.43  88.89    32     35   36      0     37    37   100.00
 136   20    0   88.89  88.89    16     18   18      1     20    20   100.00
 137   19    0   86.67  81.25    13     15   16      1     19    19   100.00
 138   22    0  100.00 100.00    18     18   18      0     22    22   100.00
 139   71    1    0.00   0.00     0      0    0      0      0     0     0.00
 140   13    0  100.00  91.67    11     11   12      0     13    13   100.00
 141    6    0  100.00 100.00     4      4    4      0      6     6   100.00
 142   28    0  100.00  95.00    19     19   20      0     28    27    96.43
 143   42    1    0.00   0.00     0      0    0      0      0     0     0.00
 144   24    1    0.00   0.00     0      0    0      0      0     0     0.00
 145    2    0  100.00 100.00     2      2    2      0      2     2   100.00
 146   10    0  100.00 100.00     8      8    8      0     10    10   100.00
 147   29    1    0.00   0.00     0      0    0      0      0     0     0.00
 148   38    1    0.00   0.00     0      0    0      0      0     0     0.00
 149   33    1    0.00   0.00     0      0    0      0      0     0     0.00
 150   37    1    0.00   0.00     0      0    0      0      0     0     0.00
 151    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 152    4    0  100.00 100.00     3      3    3      0      4     3    75.00
 153   44    0   91.67  75.86    22     24   29      0     44    44   100.00
 154   23    0   64.29  60.00     9     14   15      2     23    23   100.00
 155   21    1    0.00   0.00     0      0    0      0      0     0     0.00
 156   21    1    0.00   0.00     0      0    0      0      0     0     0.00
 157   31    1    0.00   0.00     0      0    0      0      0     0     0.00
 158    5    0  100.00 100.00     5      5    5      0      5     5   100.00
 159    6    0  100.00 100.00     3      3    3      0      6     6   100.00
 160   21    1    0.00   0.00     0      0    0      0      0     0     0.00
 161   14    1    0.00   0.00     0      0    0      0      0     0     0.00
 162   31    0   85.71  85.71    18     21   21      1     31    31   100.00
 163   32    1    0.00   0.00     0      0    0      0      0     0     0.00
 164   17    0  100.00  76.92    10     10   13      0     17    17   100.00
 165    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 166    4    0  100.00 100.00     5      5    5      0      4     4   100.00
 167   41    1    0.00   0.00     0      0    0      0      0     0     0.00
 168   28    1    0.00   0.00     0      0    0      0      0     0     0.00
 169   22    1    0.00   0.00     0      0    0      0      0     0     0.00
 170    5    0  100.00 100.00     5      5    5      0      5     5   100.00
 171    6    0   57.14  80.00     4      7    5      1      6     6   100.00
 172   24    1    0.00   0.00     0      0    0      0      0     0     0.00
 173   15    1    0.00   0.00     0      0    0      0      0     0     0.00
 174   14    1    0.00   0.00     0      0    0      0      0     0     0.00
 175   12    0  100.00 100.00     8      8    8      0     12    12   100.00
 176   23    0   92.86  86.67    13     14   15      0     23    23   100.00
 177    6    1    0.00   0.00     0      0    0      0      0     0     0.00
 178   10    1    0.00   0.00     0      0    0      0      0     0     0.00
 179   43    0   95.45  80.77    21     22   26      0     41    41   100.00
 180   16    1    0.00   0.00     0      0    0      0      0     0     0.00
 181   34    1    0.00   0.00     0      0    0      0      0     0     0.00
 182   10    0   50.00  66.67     4      8    6      1     10    10   100.00
 183   18    1    0.00   0.00     0      0    0      0      0     0     0.00
 184   26    1    0.00   0.00     0      0    0      0      0     0     0.00
 185   34    0   60.00  57.69    15     25   26      9     34    34   100.00
 186   30    0  100.00  96.00    24     24   25      0     30    29    96.67
