sentence_id,total_deps,uas_correct,uas,las_correct,las
0,14,14.0,1.0,14.0,1.0
1,14,14.0,1.0,14.0,1.0
2,14,14.0,1.0,14.0,1.0
3,14,14.0,1.0,14.0,1.0
4,14,14.0,1.0,14.0,1.0
5,14,13.0,0.9285714285714286,12.0,0.8571428571428571
6,14,12.0,0.8571428571428571,12.0,0.8571428571428571
7,14,13.0,0.9285714285714286,12.0,0.8571428571428571
8,14,12.0,0.8571428571428571,11.0,0.7857142857142857
9,14,14.0,1.0,13.0,0.9285714285714286
10,14,14.0,1.0,13.0,0.9285714285714286
11,14,14.0,1.0,13.0,0.9285714285714286
12,14,14.0,1.0,13.0,0.9285714285714286
13,14,14.0,1.0,13.0,0.9285714285714286
14,14,14.0,1.0,14.0,1.0
15,14,14.0,1.0,14.0,1.0
16,14,14.0,1.0,14.0,1.0
17,14,14.0,1.0,14.0,1.0
18,14,14.0,1.0,14.0,1.0
19,14,8.0,0.5714285714285714,7.0,0.5
20,14,14.0,1.0,14.0,1.0
21,14,8.0,0.5714285714285714,7.0,0.5
22,14,8.0,0.5714285714285714,7.0,0.5
23,14,14.0,1.0,14.0,1.0
24,14,14.0,1.0,14.0,1.0
25,14,14.0,1.0,14.0,1.0
26,11,11.0,1.0,11.0,1.0
27,11,11.0,1.0,11.0,1.0
28,11,11.0,1.0,9.0,0.8181818181818182
29,11,11.0,1.0,11.0,1.0
30,11,9.0,0.8181818181818182,8.0,0.7272727272727273
31,11,9.0,0.8181818181818182,8.0,0.7272727272727273
32,11,10.0,0.9090909090909091,9.0,0.8181818181818182
33,11,11.0,1.0,11.0,1.0
34,11,8.0,0.7272727272727273,8.0,0.7272727272727273
35,11,11.0,1.0,10.0,0.9090909090909091
36,11,11.0,1.0,10.0,0.9090909090909091
37,11,11.0,1.0,10.0,0.9090909090909091
38,11,10.0,0.9090909090909091,8.0,0.7272727272727273
39,11,11.0,1.0,11.0,1.0
40,11,11.0,1.0,11.0,1.0
41,11,11.0,1.0,11.0,1.0
42,11,9.0,0.8181818181818182,9.0,0.8181818181818182
43,11,9.0,0.8181818181818182,9.0,0.8181818181818182
44,11,11.0,1.0,11.0,1.0
45,11,9.0,0.8181818181818182,7.0,0.6363636363636364
46,11,10.0,0.9090909090909091,8.0,0.7272727272727273
47,11,11.0,1.0,10.0,0.9090909090909091
48,11,11.0,1.0,10.0,0.9090909090909091
49,11,11.0,1.0,10.0,0.9090909090909091
50,11,9.0,0.8181818181818182,9.0,0.8181818181818182
51,11,11.0,1.0,11.0,1.0
52,23,23.0,1.0,23.0,1.0
53,23,23.0,1.0,23.0,1.0
54,23,23.0,1.0,23.0,1.0
55,23,23.0,1.0,23.0,1.0
56,23,23.0,1.0,22.0,0.9565217391304348
57,23,23.0,1.0,22.0,0.9565217391304348
58,23,15.0,0.6521739130434783,15.0,0.6521739130434783
59,23,21.0,0.9130434782608695,21.0,0.9130434782608695
60,23,23.0,1.0,22.0,0.9565217391304348
61,23,23.0,1.0,23.0,1.0
62,23,23.0,1.0,23.0,1.0
63,23,18.0,0.782608695652174,18.0,0.782608695652174
64,23,19.0,0.8260869565217391,19.0,0.8260869565217391
65,23,21.0,0.9130434782608695,21.0,0.9130434782608695
66,23,23.0,1.0,23.0,1.0
67,23,23.0,1.0,23.0,1.0
68,23,23.0,1.0,23.0,1.0
69,23,23.0,1.0,23.0,1.0
70,23,23.0,1.0,23.0,1.0
71,23,23.0,1.0,23.0,1.0
72,23,23.0,1.0,23.0,1.0
73,23,23.0,1.0,23.0,1.0
74,23,23.0,1.0,23.0,1.0
75,23,23.0,1.0,23.0,1.0
77,23,23.0,1.0,22.0,0.9565217391304348
78,23,23.0,1.0,23.0,1.0
79,23,23.0,1.0,23.0,1.0
80,23,23.0,1.0,23.0,1.0
81,23,23.0,1.0,23.0,1.0
82,23,23.0,1.0,21.0,0.9130434782608695
83,23,23.0,1.0,21.0,0.9130434782608695
