sentence_id,total_deps,uas_correct,uas,las_correct,las
0,14,14.0,1.0,14.0,1.0
1,14,14.0,1.0,14.0,1.0
2,14,14.0,1.0,14.0,1.0
3,14,14.0,1.0,14.0,1.0
4,14,14.0,1.0,14.0,1.0
5,14,14.0,1.0,14.0,1.0
6,14,14.0,1.0,14.0,1.0
7,14,14.0,1.0,14.0,1.0
8,14,14.0,1.0,14.0,1.0
9,14,13.0,0.9285714285714286,13.0,0.9285714285714286
10,14,13.0,0.9285714285714286,13.0,0.9285714285714286
11,14,14.0,1.0,13.0,0.9285714285714286
12,14,13.0,0.9285714285714286,13.0,0.9285714285714286
13,14,13.0,0.9285714285714286,13.0,0.9285714285714286
14,14,14.0,1.0,14.0,1.0
15,14,14.0,1.0,14.0,1.0
16,14,14.0,1.0,14.0,1.0
17,14,14.0,1.0,14.0,1.0
18,14,14.0,1.0,14.0,1.0
19,14,14.0,1.0,14.0,1.0
20,14,14.0,1.0,14.0,1.0
21,14,14.0,1.0,14.0,1.0
22,14,14.0,1.0,14.0,1.0
23,14,14.0,1.0,14.0,1.0
24,14,14.0,1.0,14.0,1.0
25,14,14.0,1.0,14.0,1.0
26,11,11.0,1.0,11.0,1.0
27,11,11.0,1.0,11.0,1.0
28,11,11.0,1.0,9.0,0.8181818181818182
29,11,11.0,1.0,11.0,1.0
30,11,11.0,1.0,11.0,1.0
31,11,11.0,1.0,11.0,1.0
32,11,11.0,1.0,11.0,1.0
33,11,11.0,1.0,11.0,1.0
34,11,11.0,1.0,11.0,1.0
35,11,11.0,1.0,10.0,0.9090909090909091
36,11,11.0,1.0,11.0,1.0
37,11,11.0,1.0,10.0,0.9090909090909091
38,11,11.0,1.0,10.0,0.9090909090909091
39,11,11.0,1.0,11.0,1.0
40,11,11.0,1.0,11.0,1.0
41,11,11.0,1.0,11.0,1.0
42,11,11.0,1.0,11.0,1.0
43,11,11.0,1.0,11.0,1.0
44,11,11.0,1.0,11.0,1.0
45,11,11.0,1.0,11.0,1.0
46,11,11.0,1.0,11.0,1.0
47,11,11.0,1.0,10.0,0.9090909090909091
48,11,11.0,1.0,11.0,1.0
49,11,11.0,1.0,11.0,1.0
50,11,11.0,1.0,11.0,1.0
51,11,11.0,1.0,11.0,1.0
52,23,23.0,1.0,23.0,1.0
53,23,23.0,1.0,23.0,1.0
54,23,23.0,1.0,23.0,1.0
55,23,23.0,1.0,23.0,1.0
56,23,23.0,1.0,22.0,0.9565217391304348
57,23,23.0,1.0,22.0,0.9565217391304348
58,23,23.0,1.0,23.0,1.0
59,23,23.0,1.0,23.0,1.0
60,23,23.0,1.0,22.0,0.9565217391304348
61,23,23.0,1.0,23.0,1.0
62,23,23.0,1.0,23.0,1.0
63,23,23.0,1.0,23.0,1.0
64,23,21.0,0.9130434782608695,21.0,0.9130434782608695
65,23,21.0,0.9130434782608695,21.0,0.9130434782608695
66,23,23.0,1.0,23.0,1.0
67,23,23.0,1.0,23.0,1.0
68,23,23.0,1.0,23.0,1.0
69,23,23.0,1.0,23.0,1.0
70,23,23.0,1.0,23.0,1.0
71,23,23.0,1.0,23.0,1.0
72,23,23.0,1.0,23.0,1.0
73,23,23.0,1.0,23.0,1.0
74,23,23.0,1.0,23.0,1.0
75,23,23.0,1.0,22.0,0.9565217391304348
77,23,23.0,1.0,22.0,0.9565217391304348
78,23,23.0,1.0,23.0,1.0
79,23,23.0,1.0,23.0,1.0
80,23,23.0,1.0,23.0,1.0
81,23,23.0,1.0,23.0,1.0
82,23,23.0,1.0,22.0,0.9565217391304348
83,23,23.0,1.0,21.0,0.9130434782608695
84,23,23.0,1.0,23.0,1.0
85,23,23.0,1.0,23.0,1.0
86,23,23.0,1.0,23.0,1.0
87,23,23.0,1.0,23.0,1.0
88,23,23.0,1.0,23.0,1.0
89,23,23.0,1.0,23.0,1.0
90,23,23.0,1.0,23.0,1.0
91,23,23.0,1.0,22.0,0.9565217391304348
